hgnc	ensg	confidence	phenotype	panel	disease_group	moi
COX4I1	ENSG00000131143	3	Mitochondrial complex IV deficiency, nuclear type 16, OMIM:619060	Mitochondrial disorder with complex IV deficiency		BIALLELIC, autosomal or pseudoautosomal
COX6B1	ENSG00000126267	3	Mitochondrial complex IV deficiency, nuclear type 7, OMIM:619051	Mitochondrial disorder with complex IV deficiency		BIALLELIC, autosomal or pseudoautosomal
SCO1	ENSG00000133028	3	Mitochondrial complex IV deficiency, nuclear type 4, OMIM:619048	Mitochondrial disorder with complex IV deficiency		BIALLELIC, autosomal or pseudoautosomal
COA1	ENSG00000106603	2	No OMIM phenotype	Mitochondrial disorder with complex IV deficiency		Unknown
COX7C	ENSG00000127184	2	No OMIM phenotype	Mitochondrial disorder with complex IV deficiency		Unknown
COX14	ENSG00000178449	3	?Mitochondrial complex IV deficiency, 220110	Mitochondrial disorder with complex IV deficiency		BIALLELIC, autosomal or pseudoautosomal
COX6B2	ENSG00000160471	2	No OMIM phenotype	Mitochondrial disorder with complex IV deficiency		Unknown
COA3	ENSG00000183978	2	No OMIM phenotype	Mitochondrial disorder with complex IV deficiency		BIALLELIC, autosomal or pseudoautosomal
COX18	ENSG00000163626	2	No OMIM phenotype	Mitochondrial disorder with complex IV deficiency		Unknown
COA4	ENSG00000181924	2	No OMIM phenotype	Mitochondrial disorder with complex IV deficiency		Unknown
COX19	ENSG00000240230	2	No OMIM phenotype	Mitochondrial disorder with complex IV deficiency		Unknown
COX5A	ENSG00000178741	2	Pulmonary arterial hypertension, lactic acidemia, and failure to thrive	Mitochondrial disorder with complex IV deficiency		BIALLELIC, autosomal or pseudoautosomal
COX11	ENSG00000166260	2	No OMIM phenotype	Mitochondrial disorder with complex IV deficiency		Unknown
CEP89	ENSG00000121289	2	No OMIM phenotype	Mitochondrial disorder with complex IV deficiency		BIALLELIC, autosomal or pseudoautosomal
COX4I2	ENSG00000131055	2	Exocrine pancreatic insufficiency, dyserythropoietic anemia, and calvarial hyperostosis, 612714	Mitochondrial disorder with complex IV deficiency		BIALLELIC, autosomal or pseudoautosomal
NDUFA4	ENSG00000189043	3	No OMIM phenotype	Mitochondrial disorder with complex IV deficiency		BIALLELIC, autosomal or pseudoautosomal
OXA1L	ENSG00000155463	2	No OMIM phenotype	Mitochondrial disorder with complex IV deficiency		BIALLELIC, autosomal or pseudoautosomal
PET117	ENSG00000232838	2	Mitochondrial complex IV deficiency, nuclear type 19, OMIM:619063	Mitochondrial disorder with complex IV deficiency		BIALLELIC, autosomal or pseudoautosomal
COX17	ENSG00000138495	2	No OMIM phenotype	Mitochondrial disorder with complex IV deficiency		Unknown
COX5B	ENSG00000135940	2	No OMIM phenotype	Mitochondrial disorder with complex IV deficiency		Unknown
COX6C	ENSG00000164919	2	No OMIM phenotype	Mitochondrial disorder with complex IV deficiency		Unknown
COX7A1	ENSG00000161281	2	No OMIM phenotype	Mitochondrial disorder with complex IV deficiency		Unknown
COX8A	ENSG00000176340	2	?Mitochondrial complex IV deficiency, 220110	Mitochondrial disorder with complex IV deficiency		BIALLELIC, autosomal or pseudoautosomal
COA5	ENSG00000183513	2	?Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 3, 616500	Mitochondrial disorder with complex IV deficiency		BIALLELIC, autosomal or pseudoautosomal
COA6	ENSG00000168275	3	Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 4 616501	Mitochondrial disorder with complex IV deficiency		BIALLELIC, autosomal or pseudoautosomal
COX15	ENSG00000014919	3	Mitochondrial complex IV deficiency, nuclear type 6, OMIM:615119	Mitochondrial disorder with complex IV deficiency		BIALLELIC, autosomal or pseudoautosomal
COA7	ENSG00000162377	3	Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 3 OMIM:618387	Mitochondrial disorder with complex IV deficiency		BIALLELIC, autosomal or pseudoautosomal
COX7B	ENSG00000131174	3	Linear skin defects with multiple congenital anomalies 2, 300887	Mitochondrial disorder with complex IV deficiency		X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
TACO1	ENSG00000136463	3	Mitochondrial complex IV deficiency, 220110	Mitochondrial disorder with complex IV deficiency		BIALLELIC, autosomal or pseudoautosomal
PET100	ENSG00000229833	3	Mitochondrial complex IV deficiency, 220110	Mitochondrial disorder with complex IV deficiency		BIALLELIC, autosomal or pseudoautosomal
APOPT1	ENSG00000256053	3	Mitochondrial complex IV deficiency, nuclear type 17, OMIM:619061	Mitochondrial disorder with complex IV deficiency		BIALLELIC, autosomal or pseudoautosomal
SURF1	ENSG00000148290	3	Charcot-Marie-Tooth disease, type 4K, 616684	Mitochondrial disorder with complex IV deficiency		BIALLELIC, autosomal or pseudoautosomal
COX20	ENSG00000203667	3	Mitochondrial complex IV deficiency, 220110	Mitochondrial disorder with complex IV deficiency		BIALLELIC, autosomal or pseudoautosomal
LRPPRC	ENSG00000138095	3	Leigh syndrome, French-Canadian type, 220111	Mitochondrial disorder with complex IV deficiency		BIALLELIC, autosomal or pseudoautosomal
COX6A1	ENSG00000111775	3	Charcot-Marie-Tooth disease, recessive intermediate D, 616039	Mitochondrial disorder with complex IV deficiency		BIALLELIC, autosomal or pseudoautosomal
SCO2	ENSG00000130489	3	Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 1, 604377	Mitochondrial disorder with complex IV deficiency		BIALLELIC, autosomal or pseudoautosomal
EXT2	ENSG00000151348	3	Exostoses, multiple, type 2, OMIM:133701	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
KIF5B	ENSG00000170759	2	kyphomelic dysplasia, MONDO:0008881	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
DDRGK1	ENSG00000198171	2	Spondyloepimetaphyseal dysplasia, Shohat type, OMIM:602557	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
WNT1	ENSG00000125084	3	{Osteoporosis, early-onset, susceptibility to, autosomal dominant}, OMIM:615221	Skeletal dysplasia	Skeletal disorders	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
STT3A	ENSG00000134910	3	Congenital disorder of glycosylation, type Iw, autosomal dominant, OMIM:619714	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PRKAR1A	ENSG00000108946	3	Acrodysostosis 1, with or without hormone resistance, OMIM:101800	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
MYH3	ENSG00000109063	3	Contractures, pterygia, and spondylocarpostarsal fusion syndrome 1A, OMIM:178110	Skeletal dysplasia	Skeletal disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
HHAT	ENSG00000054392	3	Nivelon-Nivelon-Mabille syndrome, OMIM:600092	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
DVL2	ENSG00000004975	3	autosomal dominant Robinow sydrome	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
COL9A1	ENSG00000112280	3	Stickler syndrome, type IV, OMIM:614134	Skeletal dysplasia	Skeletal disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
COL1A2	ENSG00000164692	3	Ehlers-Danlos syndrome, cardiac valvular form, OMIM:225320	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
AFF3	ENSG00000144218	3	KINSSHIP syndrome, OMIM:619297	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
RAD21	ENSG00000164754	2	Cornelia de Lange syndrome 4, OMIM:614701	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
ARSK	ENSG00000164291	2	Mucopolysaccharidoses with short stature, coarse facial features and dysostosis multiplex	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
GNAS	ENSG00000087460	3	Pseudohypoparathyroidism Ia, OMIM:103580	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, paternally imprinted (maternal allele expressed)
KIF24	ENSG00000186638	2	Skeletal dysplasia	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
ROR2	ENSG00000169071	3	Brachydactyly, type B1, OMIM:113000 (AD)	Skeletal dysplasia	Skeletal disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
TGFB1	ENSG00000105329	3	Camurati-Engelmann disease, OMIM:131300	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
NRCAM	ENSG00000091129	2	Neurodevelopmental disorder with neuromuscular and skeletal abnormalities, OMIM:619833	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
HEATR3	ENSG00000155393	2	Anemia	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
SLC35B2	ENSG00000157593	2	Abnormality of the skeletal system	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
DROSHA	ENSG00000113360	2	Global developmental delay	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SNRPB	ENSG00000125835	3	Cerebrocostomandibular syndrome 117650	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
FGFR2	ENSG00000066468	3	Beare-Stevenson cutis gyrata syndrome 123790	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
COL11A2	ENSG00000204248	3	Stickler syndrome, type III 184840	Skeletal dysplasia	Skeletal disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
ZNF687	ENSG00000143373	3	Paget disease of bone 6, OMIM:616833	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
WBP11	ENSG00000084463	3	Vertebral, cardiac, tracheoesophageal, renal, and limb defects, OMIM:619227	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
UNC45A	ENSG00000140553	3	Osteootohepatoenteric syndrome, OMIM:619377	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
UFSP2	ENSG00000109775	3	?Beukes Hip Dysplasia OMIM:142669	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SGMS2	ENSG00000164023	3	Calvarial doughnut lesions with bone fragility with or without spondylometaphyseal dysplasia, OMIM:126550	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SCUBE3	ENSG00000146197	3	Short stature, facial dysmorphism, and skeletal anomalies with or without cardiac anomalies OMIM:619184	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
MYO18B	ENSG00000133454	3	Klippel-Feil syndrome 4, autosomal recessive, with myopathy and facial dysmorphism, OMIM:616549	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
MESD	ENSG00000117899	3	Osteogenesis imperfecta, type XX, OMIM:618644	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
LTBP1	ENSG00000049323	3	inherited cutis laxa MONDO:0100237	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
LRRK1	ENSG00000154237	3	Osteosclerotic metaphyseal dysplasia (OSMD), OMIM: 615198	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
COPB2	ENSG00000184432	3	juvenile osteoporosis	Skeletal dysplasia	Skeletal disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
ARCN1	ENSG00000095139	3	Short stature, rhizomelic, with microcephaly, micrognathia, and developmental delay, OMIM:617164	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
MTX2	ENSG00000128654	3	Skeletal dysplasia	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
HS2ST1	ENSG00000153936	3	Intellectual disability	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
GZF1	ENSG00000125812	3	Larsen syndrome	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
PRKG2	ENSG00000138669	3	Acromesomelic dysplasia 4, OMIM:619636	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
KDELR2	ENSG00000136240	3	Osteogenesis imperfecta, type XXI, OMIM:619131	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
PISD	ENSG00000241878	3	Liberfarb syndrome, OMIM:618889	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
TONSL	ENSG00000160949	3	Spondyloepimetaphyseal dysplasia, sponastrime type OMIM:271510	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
NXN	ENSG00000167693	3	Robinow syndrome, autosomal recessive 2, OMIM:618529	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
CSGALNACT1	ENSG00000147408	3	Desbuquois dysplasia with mild joint laxity	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
COG4	ENSG00000103051	3	Saul-Wilson syndrome, OMIM:618150	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
NPR3	ENSG00000113389	3	Tall stature	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
CSNK1G1	ENSG00000169118	2	early-onset epileptic encephalopathy and microcephaly	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
IL1RN	ENSG00000136689	3	Interleukin 1 receptor antagonist deficiency, OMIM:612852	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
IFIH1	ENSG00000115267	3	Singleton-Merten syndrome 1, OMIM:182250	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
EXTL3	ENSG00000012232	3	Immunoskeletal dysplasia with neurodevelopmental abnormalities, OMIM:617425	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
COL11A1	ENSG00000060718	3	Stickler syndrome, type II, OMIM:604841	Skeletal dysplasia	Skeletal disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
WNT10B	ENSG00000169884	3	Split-hand/foot malformation 6, OMIM:225300	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
FLNA	ENSG00000196924	3	Frontometaphyseal dysplasia 1, OMIM:305620	Skeletal dysplasia	Skeletal disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
IFT52	ENSG00000101052	3	Short-rib thoracic dysplasia 16 with or without polydactyly, OMIM:617102	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
ICK	ENSG00000112144	3	Endocrine-cerebroosteodysplasia, OMIM:612651	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
TMEM38B	ENSG00000095209	3	Osteogenesis imperfecta, type XIV, OMIM:615066	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
TCTEX1D2	ENSG00000213123	3	Short-rib thoracic dysplasia 17 with or without polydactyly, OMIM:617405	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
PFN1	ENSG00000108518	2	Paget’s disease of bone	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
NPR2	ENSG00000159899	3	Acromesomelic dysplasia, Maroteaux type 602875	Skeletal dysplasia	Skeletal disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
ANO5	ENSG00000171714	3	Gnathodiaphyseal dysplasia OMIM:166260	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
UBA2	ENSG00000126261	2	split hand-foot malformation MONDO:0016576	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
B9D1	ENSG00000108641	2	Meckel syndrome 9, OMIM:614209	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
SMC1A	ENSG00000072501	3	Cornelia de Lange syndrome 2, OMIM:300590	Skeletal dysplasia	Skeletal disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
HSPG2	ENSG00000142798	3	Schwartz-Jampel syndrome, type 1, OMIM:255800	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
ANAPC1	ENSG00000153107	2	Rothmund Thomson syndrome type 1, OMIM:618625, MONDO:0016368	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
XYLT1	ENSG00000103489	3	Desbuquois dysplasia 2, 615777	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
TNFRSF11A	ENSG00000141655	3	Osteolysis, familial expansile 174810	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PLEKHM1	ENSG00000225190	2	Osteopetrosis, autosomal recessive 6 - 611497	Skeletal dysplasia	Skeletal disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
GNPNAT1	ENSG00000100522	2	Rhizomelic skeletal dysplasia	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
C16orf62	ENSG00000103544	2	3C/Ritscher-Schinzel-like syndrome	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
TTC8	ENSG00000165533	3	Polydactyly	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
ALX1	ENSG00000180318	3	Frontonasal dysplasia type 3 613456	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
WDPCP	ENSG00000143951	3	?Congenital heart defects, hamartomas of tongue, and polysyndactyly 217085	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
MKKS	ENSG00000125863	3	Polydactyly	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
BBS9	ENSG00000122507	3	Polydactyly	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
BBS7	ENSG00000138686	3	Polydactyly	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
BBS5	ENSG00000163093	3	Polydactyly	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
BBS4	ENSG00000140463	3	Polydactyly	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
BBS2	ENSG00000125124	3	Polydactyly	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
BBS12	ENSG00000181004	3	Polydactyly	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
BBS10	ENSG00000179941	3	Polydactyly	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
BBS1	ENSG00000174483	3	Polydactyly	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
ARL6	ENSG00000113966	3	Polydactyly	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
SHOX	ENSG00000185960	3	Langer mesomelic dysplasia, OMIM:249700 (PR)	Skeletal dysplasia	Skeletal disorders	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
ABL1	ENSG00000097007	2	Congenital heart defects and skeletal malformations syndrome, 617602	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
DPAGT1	ENSG00000172269	3	Congenital disorder of glycosylation, type Ij 608093	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
B3GLCT	ENSG00000187676	3	Peters-plus syndrome 261540	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
SLC35C1	ENSG00000181830	3	Congenital disorder of glycosylation, type IIc 266265	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
SLC34A1	ENSG00000131183	3	Nephrolithiasis/osteoporosis, hypophosphatemic, 1, 612286	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CYP2R1	ENSG00000186104	3	Rickets due to defect in vitamin D 25-hydroxylation, 600081	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
VDR	ENSG00000111424	3	Rickets, vitamin D-resistant, type IIA, 277440	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
TAPT1	ENSG00000169762	3	"Osteochondrodysplasia, complex lethal, Symoens-Barnes-Gistelinck type	616897"	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
SPARC	ENSG00000113140	3	Osteogenesis imperfecta, type XVII, OMIM:616507	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
SP7	ENSG00000170374	3	Osteogenesis imperfecta, type XII 613849	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
NBAS	ENSG00000151779	3	Short stature, optic nerve atrophy, and Pelger-Huet anomaly, 614800	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
CREB3L1	ENSG00000157613	3	Osteogenesis imperfecta, type XVI 616229	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
IFT81	ENSG00000122970	3	Short-rib thoracic dysplasia 19 with or without polydactyly -617895	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
RBPJ	ENSG00000168214	3	Adams-Oliver syndrome 3, 614814	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
GPX4	ENSG00000167468	2	Spondylometaphyseal dysplasia, Sedaghatian type 250220	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
IDS	ENSG00000010404	3	Mucopolysaccharidosis II 309900	Skeletal dysplasia	Skeletal disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females
IFT172	ENSG00000138002	3	Short-rib thoracic dysplasia 10 with or without polydactyly, 615630	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
RECQL4	ENSG00000160957	3	RAPILINO syndrome 266280	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
RFT1	ENSG00000163933	3	Congenital disorder of glycosylation, type In 612015	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
MATN3	ENSG00000132031	3	MED	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
TTC21B	ENSG00000123607	3	Nephronophthisis 12, 613820	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
ADAMTS10	ENSG00000142303	3	Weill-Marchesani syndrome 1, recessive, 277600	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
SLC10A7	ENSG00000120519	3	skeletal dysplasia and amelogenesis imperfecta	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
TBX6	ENSG00000149922	3	"Spondylocostal dysostosis 5	122600"	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
ADAMTS17	ENSG00000140470	3	Weill-Marchesani syndrome type 4	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
FBLN1	ENSG00000077942	2	Synpolydactyly, 3/3'4, associated with metacarpal and metatarsal synostoses 608180	Skeletal dysplasia	Skeletal disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
NEK1	ENSG00000137601	3	Short rib thoracic dysplasia 6 with or without polydactyly - 263520	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
FN1	ENSG00000115414	3	Spondylometaphyseal dysplasia, corner fracture type 184255	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
RAB33B	ENSG00000172007	3	Smith-McCort dysplasia 2 615222	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
PAM16	ENSG00000217930	2	Spondylometaphyseal dysplasia, Megarbane-Dagher-Melike type  613320	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
FZD2	ENSG00000180340	3	Omodysplasia 2, OMIM:164745	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
WDR35	ENSG00000118965	3	Short-rib thoracic dysplasia 7 with or without polydactyly 614091	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
TRPV6	ENSG00000165125	3	Hyperparathyroidism, transient neonatal, 618188	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
DYNC2H1	ENSG00000187240	3	Short rib polydactyly syndrome (SRPS) type 3 with or without polydactyly, 613091	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
HNRNPK	ENSG00000165119	2	Orphanet:453499	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
MIR17HG	ENSG00000215417	2	FS2	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
WDR19	ENSG00000157796	3	Cranioectodermal dysplasia 4, 614378	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
MMP9	ENSG00000100985	2	Metaphyseal anadysplasia 2 613073	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
OBSL1	ENSG00000124006	3	3-M syndrome 2 612921	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
PAX3	ENSG00000135903	3	Craniofacial-deafness-hand syndrome, 122880	Skeletal dysplasia	Skeletal disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
DCC	ENSG00000187323	2	"Gaze palsy, familial horizontal, with progressive scoliosis, 2	617542"	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
NIPBL	ENSG00000164190	3	Cornelia de Lange syndrome 1 122470	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
EBP	ENSG00000147155	3	X-linked dominant chondrodysplasia punctata	Skeletal dysplasia	Skeletal disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
TBX15	ENSG00000092607	3	Cousin syndrome 260660	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
SUMF1	ENSG00000144455	3	Multiple sulfatase deficiency 272200	Skeletal dysplasia	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal
PTPN11	ENSG00000179295	3	Metachondromatosis 156250	Skeletal dysplasia	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
