enst	csq	n_pos	n_obs	mu
ENST00000259607	synonymous	285	44.0	4.792957894736842e-09
ENST00000259608	missense	1232	124.0	6.1201631493506494e-09
ENST00000259608	nonsense	68	5.0	3.815176470588235e-09
ENST00000259608	synonymous	455	64.0	7.617661538461538e-09
ENST00000259631	missense	722	73.0	4.0140512465373965e-09
ENST00000259631	nonsense	37	9.0	6.3295405405405406e-09
ENST00000259631	synonymous	240	36.0	5.454016666666666e-09
ENST00000259632	missense	1204	132.0	4.588451827242525e-09
ENST00000259632	nonsense	72	7.0	3.788458333333333e-09
ENST00000259632	synonymous	389	43.0	6.3111053984575835e-09
ENST00000259633	missense	2308	228.0	3.898195840554593e-09
ENST00000259633	nonsense	174	10.0	3.7046954022988503e-09
ENST00000259633	synonymous	740	103.0	5.757162162162162e-09
ENST00000259667	missense	1028	119.0	4.770206225680933e-09
ENST00000259667	nonsense	44	5.0	8.087954545454546e-09
ENST00000259667	synonymous	386	55.0	4.723971502590673e-09
ENST00000259711	missense	11909	1081.0	4.478349315643631e-09
ENST00000259711	nonsense	708	36.0	6.387872881355932e-09
ENST00000259711	synonymous	3619	475.0	6.1997297596020995e-09
ENST00000259727	missense	2265	258.0	5.308705960264901e-09
ENST00000259727	nonsense	108	10.0	3.964777777777778e-09
ENST00000259727	synonymous	723	97.0	8.08148132780083e-09
ENST00000259750	missense	8472	946.0	6.538246931067044e-09
ENST00000259750	nonsense	383	15.0	5.7640339425587465e-09
ENST00000259750	synonymous	3025	511.0	8.586194710743801e-09
ENST00000259782	missense	3148	383.0	4.3307125158831005e-09
ENST00000259782	nonsense	247	30.0	5.5211821862348176e-09
ENST00000259782	synonymous	880	147.0	5.6490988636363635e-09
ENST00000259803	missense	2897	219.0	4.687877459440801e-09
ENST00000259803	nonsense	187	1.0	3.85892513368984e-09
ENST00000259803	synonymous	831	106.0	7.005880866425993e-09
ENST00000259808	missense	4492	415.0	4.529842163846839e-09
ENST00000259808	nonsense	276	13.0	3.3679021739130435e-09
ENST00000259808	synonymous	1262	179.0	7.658705229793978e-09
ENST00000259818	missense	2972	60.0	5.4854481830417235e-09
ENST00000259818	nonsense	139	1.0	3.90258273381295e-09
ENST00000259818	synonymous	885	125.0	9.199937853107346e-09
ENST00000259845	missense	861	100.0	4.098524970963995e-09
ENST00000259845	nonsense	44	7.0	5.202295454545454e-09
ENST00000259845	synonymous	310	35.0	4.654051612903226e-09
ENST00000259870	missense	2073	244.0	5.424284129281236e-09
ENST00000259870	nonsense	99	10.0	5.777959595959597e-09
ENST00000259870	synonymous	744	92.0	6.31624059139785e-09
ENST00000259873	missense	1654	217.0	5.817625755743651e-09
ENST00000259873	nonsense	101	7.0	5.968198019801981e-09
ENST00000259873	synonymous	558	80.0	5.749345878136201e-09
ENST00000259874	missense	987	89.0	4.446984802431611e-09
ENST00000259874	nonsense	28	1.0	5.034428571428571e-09
ENST00000259874	synonymous	380	40.0	5.590797368421053e-09
ENST00000259881	missense	983	90.0	4.045266531027467e-09
ENST00000259881	nonsense	45	4.0	5.812933333333333e-09
ENST00000259881	synonymous	331	35.0	5.458694864048338e-09
ENST00000259895	missense	3000	269.0	5.046992e-09
ENST00000259895	nonsense	148	17.0	6.740222972972973e-09
ENST00000259895	synonymous	1001	129.0	6.12846053946054e-09
ENST00000259915	missense	2311	206.0	5.491149718736478e-09
ENST00000259915	nonsense	128	3.0	8.7185859375e-09
ENST00000259915	synonymous	792	103.0	8.285598484848485e-09
ENST00000259938	missense	730	54.0	5.816843835616438e-09
ENST00000259938	nonsense	38	0.0	2.620342105263158e-09
ENST00000259938	synonymous	231	25.0	8.23644155844156e-09
ENST00000259939	missense	1978	193.0	4.496373609706774e-09
ENST00000259939	nonsense	131	6.0	6.56436641221374e-09
ENST00000259939	synonymous	609	78.0	6.160055829228243e-09
ENST00000259951	missense	2872	299.0	4.481220752089136e-09
ENST00000259951	nonsense	171	24.0	4.26327485380117e-09
ENST00000259951	synonymous	926	129.0	5.989552915766739e-09
ENST00000259963	missense	2639	303.0	4.342338385752179e-09
ENST00000259963	nonsense	129	9.0	6.015821705426357e-09
ENST00000259963	synonymous	940	153.0	5.2567712765957445e-09
ENST00000259983	missense	1014	106.0	4.076592702169625e-09
ENST00000259983	nonsense	69	8.0	4.9489130434782605e-09
ENST00000259983	synonymous	276	33.0	6.621434782608696e-09
ENST00000259989	missense	1450	187.0	4.9539889655172414e-09
ENST00000259989	nonsense	88	6.0	6.3672386363636364e-09
ENST00000259989	synonymous	460	83.0	6.685819565217392e-09
ENST00000260045	missense	5067	405.0	3.921330570357214e-09
ENST00000260045	nonsense	318	13.0	5.052965408805031e-09
ENST00000260045	synonymous	1455	184.0	5.519874914089347e-09
ENST00000260061	missense	4246	484.0	5.936377060763071e-09
ENST00000260061	nonsense	146	9.0	5.1900136986301375e-09
ENST00000260061	synonymous	1557	254.0	7.564976236351958e-09
ENST00000260102	missense	1907	217.0	4.839359727320398e-09
ENST00000260102	nonsense	116	7.0	4.501293103448275e-09
ENST00000260102	synonymous	632	82.0	5.301582278481013e-09
ENST00000260113	missense	1680	154.0	5.171622023809524e-09
ENST00000260113	nonsense	115	8.0	4.305921739130435e-09
ENST00000260113	synonymous	518	76.0	6.812196911196911e-09
ENST00000260116	missense	1819	203.0	4.347130841121495e-09
ENST00000260116	nonsense	88	5.0	4.330238636363637e-09
ENST00000260116	synonymous	586	82.0	5.7186587030716725e-09
ENST00000260118	missense	2091	184.0	3.962240554758489e-09
ENST00000260118	nonsense	147	2.0	2.489387755102041e-09
ENST00000260118	synonymous	615	78.0	5.671487804878049e-09
ENST00000260126	missense	5528	580.0	4.188737337192475e-09
ENST00000260126	nonsense	296	20.0	4.06460472972973e-09
ENST00000260126	synonymous	1799	257.0	5.535764313507504e-09
ENST00000260129	missense	5718	609.0	3.822841552990556e-09
ENST00000260129	nonsense	399	22.0	3.2158320802005014e-09
ENST00000260129	synonymous	1551	207.0	5.420600902643456e-09
ENST00000260130	missense	1970	183.0	4.414151776649746e-09
ENST00000260130	nonsense	92	2.0	2.6135543478260867e-09
ENST00000260130	synonymous	611	63.0	4.854234042553191e-09
ENST00000260187	missense	3915	403.0	5.949010472541507e-09
ENST00000260187	nonsense	218	13.0	7.22941743119266e-09
ENST00000260187	synonymous	1303	184.0	6.905100537221796e-09
ENST00000260191	missense	2903	298.0	4.30707922838443e-09
ENST00000260191	nonsense	160	17.0	5.656425e-09
ENST00000260191	synonymous	897	107.0	6.1976298773690074e-09
ENST00000260197	missense	14744	1433.0	5.097287913727617e-09
ENST00000260197	nonsense	826	34.0	5.16553995157385e-09
ENST00000260197	synonymous	4347	636.0	7.837125143777317e-09
ENST00000260210	missense	4065	467.0	5.285367527675277e-09
ENST00000260210	nonsense	228	18.0	5.6064561403508775e-09
ENST00000260210	synonymous	1269	180.0	5.334507486209614e-09
ENST00000260227	missense	1736	198.0	4.5546664746543775e-09
ENST00000260227	nonsense	114	7.0	6.2872631578947365e-09
ENST00000260227	synonymous	544	86.0	6.477746323529412e-09
ENST00000260228	missense	3187	408.0	4.660720740508315e-09
ENST00000260228	nonsense	185	17.0	2.930508108108108e-09
ENST00000260228	synonymous	966	148.0	6.573403726708075e-09
ENST00000260229	missense	3419	405.0	4.0444442819537876e-09
ENST00000260229	nonsense	200	20.0	4.417555e-09
ENST00000260229	synonymous	989	145.0	5.0439352881698684e-09
ENST00000260247	missense	1568	75.0	3.768669005102041e-09
ENST00000260247	nonsense	134	2.0	2.9766940298507464e-09
ENST00000260247	synonymous	422	53.0	5.0793056872037916e-09
ENST00000260257	missense	4125	403.0	3.8103774545454545e-09
ENST00000260257	nonsense	237	20.0	3.6745991561181432e-09
ENST00000260257	synonymous	1245	141.0	5.193856224899598e-09
ENST00000260270	missense	1175	145.0	4.522883404255319e-09
ENST00000260270	nonsense	50	4.0	4.2352600000000005e-09
ENST00000260270	synonymous	422	72.0	5.203623222748816e-09
ENST00000260276	missense	995	104.0	3.9811698492462314e-09
ENST00000260276	nonsense	78	13.0	7.580589743589743e-09
ENST00000260276	synonymous	268	37.0	5.24934328358209e-09
ENST00000260302	missense	3152	333.0	4.361020939086295e-09
ENST00000260302	nonsense	174	9.0	4.493373563218391e-09
ENST00000260302	synonymous	904	123.0	6.396092920353982e-09
ENST00000260315	missense	2897	308.0	4.414715567828788e-09
ENST00000260315	nonsense	164	8.0	3.979256097560976e-09
ENST00000260315	synonymous	836	120.0	5.766015550239235e-09
ENST00000260323	missense	14733	1563.0	3.846168397475056e-09
ENST00000260323	nonsense	1001	67.0	4.489224775224775e-09
ENST00000260323	synonymous	4183	580.0	5.066994740616782e-09
ENST00000260324	missense	2939	321.0	4.659374276964955e-09
ENST00000260324	nonsense	165	11.0	4.913969696969697e-09
ENST00000260324	synonymous	937	132.0	6.131497331910353e-09
ENST00000260327	missense	3037	198.0	4.339378004609812e-09
ENST00000260327	nonsense	210	0.0	3.986990476190476e-09
ENST00000260327	synonymous	938	104.0	5.150214285714286e-09
ENST00000260356	missense	7865	715.0	5.3245631277813094e-09
ENST00000260356	nonsense	394	9.0	4.451657360406092e-09
ENST00000260356	synonymous	2262	342.0	8.290015915119363e-09
ENST00000260361	missense	2180	255.0	4.654405504587156e-09
ENST00000260361	nonsense	123	8.0	4.550439024390244e-09
ENST00000260361	synonymous	631	84.0	5.827806656101426e-09
ENST00000260372	missense	1564	138.0	3.5368113810741687e-09
ENST00000260372	nonsense	97	5.0	2.75740206185567e-09
ENST00000260372	synonymous	445	65.0	4.905186516853932e-09
ENST00000260379	missense	739	82.0	4.003863328822733e-09
ENST00000260379	nonsense	28	1.0	2.7369642857142857e-09
ENST00000260379	synonymous	250	38.0	5.660276e-09
ENST00000260382	missense	4560	396.0	4.13252149122807e-09
ENST00000260382	nonsense	280	17.0	3.946657142857143e-09
ENST00000260382	synonymous	1325	169.0	5.420910943396227e-09
ENST00000260386	missense	2968	295.0	4.628875336927223e-09
ENST00000260386	nonsense	125	6.0	4.144024e-09
ENST00000260386	synonymous	1047	197.0	6.314730659025788e-09
ENST00000260402	missense	7855	827.0	5.013994907702101e-09
ENST00000260402	nonsense	414	29.0	3.8770628019323674e-09
ENST00000260402	synonymous	2387	358.0	7.229917469627147e-09
ENST00000260403	missense	4227	385.0	4.106177430801987e-09
ENST00000260403	nonsense	229	8.0	3.529288209606987e-09
ENST00000260403	synonymous	1322	161.0	4.9313411497730705e-09
ENST00000260408	missense	4980	364.0	4.1645321285140565e-09
ENST00000260408	nonsense	329	11.0	4.761039513677812e-09
ENST00000260408	synonymous	1414	183.0	4.907706506364922e-09
ENST00000260442	missense	1283	183.0	4.306198752922837e-09
ENST00000260442	nonsense	71	10.0	5.5115492957746475e-09
ENST00000260442	synonymous	473	91.0	5.9528689217758985e-09
ENST00000260443	missense	1103	108.0	4.483642792384406e-09
ENST00000260443	nonsense	81	1.0	5.503049382716049e-09
ENST00000260443	synonymous	274	37.0	4.974361313868613e-09
ENST00000260447	missense	543	57.0	5.152718232044199e-09
ENST00000260447	nonsense	31	3.0	3.5154193548387097e-09
ENST00000260447	synonymous	173	25.0	7.220676300578035e-09
ENST00000260453	missense	3371	341.0	3.8933105903292795e-09
ENST00000260453	nonsense	299	28.0	4.3781371237458195e-09
ENST00000260453	synonymous	776	112.0	4.971592783505154e-09
ENST00000260502	missense	5430	575.0	5.579144014732965e-09
ENST00000260502	nonsense	280	19.0	6.248414285714286e-09
ENST00000260502	synonymous	1706	238.0	8.023806565064478e-09
ENST00000260505	missense	5847	439.0	4.295100393364118e-09
ENST00000260505	nonsense	430	24.0	5.758388372093023e-09
ENST00000260505	synonymous	1697	224.0	4.645172657631114e-09
ENST00000260508	missense	2987	251.0	3.93271911617007e-09
ENST00000260508	nonsense	204	13.0	3.5960392156862748e-09
ENST00000260508	synonymous	886	86.0	4.799507900677201e-09
ENST00000260526	missense	8349	744.0	3.9019002275721644e-09
ENST00000260526	nonsense	549	15.0	4.568005464480874e-09
ENST00000260526	synonymous	2442	295.0	4.721534398034398e-09
ENST00000260570	missense	11471	1106.0	4.9516060500392295e-09
ENST00000260570	nonsense	712	48.0	5.579813202247191e-09
ENST00000260570	synonymous	3549	441.0	6.075584108199493e-09
ENST00000260585	missense	2580	192.0	3.7770019379844955e-09
ENST00000260585	nonsense	164	5.0	3.913353658536585e-09
ENST00000260585	synonymous	820	98.0	5.064407317073171e-09
ENST00000260598	missense	1949	243.0	5.993502308876347e-09
ENST00000260598	nonsense	91	9.0	5.011065934065934e-09
ENST00000260598	synonymous	633	106.0	9.08121169036335e-09
ENST00000260605	missense	2324	277.0	4.021922117039587e-09
ENST00000260605	nonsense	155	13.0	3.06778064516129e-09
ENST00000260605	synonymous	671	84.0	5.677190760059613e-09
ENST00000260641	missense	2568	121.0	4.379065420560748e-09
ENST00000260641	nonsense	168	3.0	7.647357142857143e-09
ENST00000260641	synonymous	801	108.0	4.8869700374531836e-09
ENST00000260643	missense	2675	271.0	4.90896523364486e-09
ENST00000260643	nonsense	125	6.0	4.741144e-09
ENST00000260643	synonymous	944	139.0	6.159596398305084e-09
ENST00000260649	missense	4594	685.0	4.771069003047453e-09
ENST00000260649	nonsense	277	33.0	3.872397111913357e-09
ENST00000260649	synonymous	1285	248.0	7.247341634241245e-09
ENST00000260653	missense	2142	209.0	4.556176003734827e-09
ENST00000260653	nonsense	91	0.0	4.043406593406594e-09
ENST00000260653	synonymous	746	160.0	6.409113941018766e-09
ENST00000260665	missense	9178	1137.0	4.053708760078449e-09
ENST00000260665	nonsense	619	33.0	3.695269789983845e-09
ENST00000260665	synonymous	2740	415.0	5.673584671532846e-09
ENST00000260682	missense	3257	464.0	4.321485723058029e-09
ENST00000260682	nonsense	178	19.0	2.438994382022472e-09
ENST00000260682	synonymous	966	191.0	4.93610248447205e-09
ENST00000260702	missense	4964	592.0	6.170829572925061e-09
ENST00000260702	nonsense	258	29.0	4.6185e-09
ENST00000260702	synonymous	1573	238.0	7.402048315321042e-09
ENST00000260723	missense	3349	359.0	4.773465213496566e-09
ENST00000260723	nonsense	190	19.0	4.2209473684210525e-09
ENST00000260723	synonymous	1006	160.0	7.459884691848906e-09
ENST00000260731	missense	6975	449.0	3.7570662365591395e-09
ENST00000260731	nonsense	458	3.0	4.131222707423581e-09
ENST00000260731	synonymous	2062	231.0	4.457191076624636e-09
ENST00000260743	missense	2092	264.0	6.865320745697897e-09
ENST00000260743	nonsense	95	9.0	3.716694736842105e-09
ENST00000260743	synonymous	711	128.0	9.682443037974683e-09
ENST00000260746	missense	1194	78.0	4.181247906197655e-09
ENST00000260746	nonsense	77	1.0	4.5629090909090915e-09
ENST00000260746	synonymous	358	41.0	5.974575418994413e-09
ENST00000260762	missense	5385	462.0	3.698804456824513e-09
ENST00000260762	nonsense	350	13.0	5.270054285714286e-09
ENST00000260762	synonymous	1492	172.0	4.580809651474531e-09
ENST00000260803	missense	3629	368.0	3.783091760815652e-09
ENST00000260803	nonsense	224	16.0	4.169245535714286e-09
ENST00000260803	synonymous	1034	134.0	5.449726305609284e-09
ENST00000260810	missense	10046	873.0	4.10225472825005e-09
ENST00000260810	nonsense	665	6.0	4.426294736842105e-09
ENST00000260810	synonymous	2978	369.0	5.0766984553391535e-09
ENST00000260818	missense	14827	1285.0	4.025679571052809e-09
ENST00000260818	nonsense	986	24.0	4.319607505070994e-09
ENST00000260818	synonymous	4365	531.0	4.996728751431844e-09
ENST00000260843	missense	2374	251.0	4.347325189553497e-09
ENST00000260843	nonsense	139	15.0	5.222978417266186e-09
ENST00000260843	synonymous	700	106.0	6.498407142857142e-09
ENST00000260947	missense	5127	608.0	4.04140315974254e-09
ENST00000260947	nonsense	334	26.0	3.948161676646706e-09
ENST00000260947	synonymous	1523	236.0	5.385215364412344e-09
ENST00000260950	missense	2481	230.0	4.1146219266424835e-09
ENST00000260950	nonsense	161	6.0	4.407093167701864e-09
ENST00000260950	synonymous	724	102.0	5.4648701657458565e-09
ENST00000260952	missense	4230	403.0	4.138556973995272e-09
ENST00000260952	nonsense	267	15.0	4.638561797752809e-09
ENST00000260952	synonymous	1281	144.0	4.3259555035128806e-09
ENST00000260953	missense	1384	134.0	3.8078186416184975e-09
ENST00000260953	nonsense	90	5.0	3.344122222222222e-09
ENST00000260953	synonymous	398	54.0	5.2035527638190956e-09
ENST00000260956	missense	2741	181.0	3.4604611455673114e-09
ENST00000260956	nonsense	200	3.0	2.55181e-09
ENST00000260956	synonymous	722	77.0	4.90228947368421e-09
ENST00000260970	missense	5063	411.0	4.057332806636381e-09
ENST00000260970	nonsense	408	11.0	5.14823774509804e-09
ENST00000260970	synonymous	1306	171.0	4.983429555895865e-09
ENST00000260988	missense	1165	156.0	5.4494077253218884e-09
ENST00000260988	nonsense	78	9.0	5.407294871794872e-09
ENST00000260988	synonymous	323	64.0	7.804640866873065e-09
ENST00000261015	missense	2772	296.0	3.7913672438672435e-09
ENST00000261015	nonsense	197	14.0	4.695604060913706e-09
ENST00000261015	synonymous	829	96.0	5.129546441495777e-09
ENST00000261018	missense	3511	324.0	4.569872970663629e-09
ENST00000261018	nonsense	175	8.0	5.590485714285714e-09
ENST00000261018	synonymous	1183	131.0	4.896624683009298e-09
ENST00000261023	missense	6870	618.0	4.24072576419214e-09
ENST00000261023	nonsense	417	19.0	4.956443645083933e-09
ENST00000261023	synonymous	2136	262.0	5.239241573033708e-09
ENST00000261024	missense	3708	336.0	4.248407227615966e-09
ENST00000261024	nonsense	196	7.0	6.094459183673469e-09
ENST00000261024	synonymous	1226	150.0	5.344517128874388e-09
ENST00000261038	missense	3046	264.0	4.478499671700591e-09
ENST00000261038	nonsense	164	7.0	4.793420731707317e-09
ENST00000261038	synonymous	1083	153.0	5.486948291782087e-09
ENST00000261047	missense	1422	156.0	3.454118846694796e-09
ENST00000261047	nonsense	76	5.0	2.910421052631579e-09
ENST00000261047	synonymous	374	48.0	5.6580320855614975e-09
ENST00000261058	missense	2185	211.0	3.5110315789473684e-09
ENST00000261058	nonsense	141	14.0	3.4566028368794327e-09
ENST00000261058	synonymous	617	75.0	4.641654781199352e-09
ENST00000261070	missense	407	39.0	4.0145528255528255e-09
ENST00000261070	nonsense	29	0.0	2.3035517241379307e-09
ENST00000261070	synonymous	122	17.0	5.946786885245901e-09
ENST00000261167	missense	4152	339.0	5.098684489402697e-09
ENST00000261167	nonsense	222	3.0	8.10272072072072e-09
ENST00000261167	synonymous	1386	167.0	4.4678066378066376e-09
ENST00000261168	missense	8322	740.0	4.0955692141312185e-09
ENST00000261168	nonsense	423	7.0	5.90768085106383e-09
ENST00000261168	synonymous	2676	310.0	4.787972346786248e-09
ENST00000261170	missense	7128	571.0	4.3345608866442205e-09
ENST00000261170	nonsense	428	31.0	4.5243200934579435e-09
ENST00000261170	synonymous	2092	248.0	5.796572657743786e-09
ENST00000261172	missense	2127	207.0	4.057846732487071e-09
ENST00000261172	nonsense	112	10.0	6.034741071428571e-09
ENST00000261172	synonymous	650	75.0	5.1489184615384614e-09
ENST00000261180	missense	7024	592.0	3.986337699316629e-09
ENST00000261180	nonsense	448	27.0	4.665176339285715e-09
ENST00000261180	synonymous	2140	293.0	5.740185981308412e-09
ENST00000261183	missense	5873	434.0	4.117909586242125e-09
ENST00000261183	nonsense	431	16.0	4.820874709976798e-09
ENST00000261183	synonymous	1688	188.0	4.867513033175355e-09
ENST00000261191	missense	4664	334.0	4.327070969125215e-09
ENST00000261191	nonsense	324	12.0	5.3060524691358026e-09
ENST00000261191	synonymous	1357	163.0	4.978288872512896e-09
ENST00000261192	missense	2499	247.0	3.9846086434573834e-09
ENST00000261192	nonsense	174	14.0	3.7708275862068964e-09
ENST00000261192	synonymous	792	96.0	4.932045454545455e-09
ENST00000261195	missense	4632	468.0	4.222590241796201e-09
ENST00000261195	nonsense	291	29.0	5.329113402061856e-09
ENST00000261195	synonymous	1395	185.0	5.654635125448029e-09
ENST00000261200	missense	10169	590.0	4.278150653948274e-09
ENST00000261200	nonsense	581	29.0	4.3001239242685025e-09
ENST00000261200	synonymous	3182	419.0	5.30657793840352e-09
ENST00000261205	missense	2802	161.0	4.3375124910778014e-09
ENST00000261205	nonsense	175	0.0	4.535845714285714e-09
ENST00000261205	synonymous	812	97.0	7.147375615763547e-09
ENST00000261208	missense	4264	422.0	5.128333020637898e-09
ENST00000261208	nonsense	220	17.0	3.805236363636364e-09
ENST00000261208	synonymous	1420	171.0	6.249441549295774e-09
ENST00000261211	missense	3413	232.0	4.1561907412833284e-09
ENST00000261211	nonsense	255	7.0	5.728666666666666e-09
ENST00000261211	synonymous	1030	118.0	4.798332038834951e-09
ENST00000261226	missense	3154	327.0	5.410771718452759e-09
ENST00000261226	nonsense	177	14.0	5.372090395480226e-09
ENST00000261226	synonymous	953	166.0	8.67809758656873e-09
ENST00000261233	missense	3948	384.0	3.975202127659575e-09
ENST00000261233	nonsense	258	22.0	3.4508449612403104e-09
ENST00000261233	synonymous	1149	146.0	5.068308964316797e-09
ENST00000261234	missense	2919	282.0	3.9300277492291885e-09
ENST00000261234	nonsense	220	20.0	3.7120863636363634e-09
ENST00000261234	synonymous	839	101.0	6.0642550655542314e-09
ENST00000261245	missense	2040	162.0	3.2805789215686277e-09
ENST00000261245	nonsense	151	10.0	4.2270463576158935e-09
ENST00000261245	synonymous	581	65.0	4.4070258175559375e-09
ENST00000261249	missense	3369	330.0	3.804453547046601e-09
ENST00000261249	nonsense	211	16.0	4.867336492890996e-09
ENST00000261249	synonymous	992	108.0	4.662389112903226e-09
ENST00000261250	missense	3652	290.0	3.7348811610076665e-09
ENST00000261250	nonsense	269	14.0	5.163776951672863e-09
ENST00000261250	synonymous	1038	109.0	4.903295761078998e-09
ENST00000261254	missense	1889	137.0	4.933691900476443e-09
ENST00000261254	nonsense	103	1.0	3.800029126213592e-09
ENST00000261254	synonymous	600	93.0	7.2213033333333336e-09
ENST00000261263	missense	1456	123.0	4.095110576923077e-09
ENST00000261263	nonsense	105	3.0	4.006828571428571e-09
ENST00000261263	synonymous	455	53.0	5.496140659340659e-09
ENST00000261267	missense	966	79.0	4.615447204968944e-09
ENST00000261267	nonsense	64	7.0	5.2293437500000004e-09
ENST00000261267	synonymous	293	28.0	4.7527440273037546e-09
ENST00000261275	missense	3467	431.0	5.874999711566196e-09
ENST00000261275	nonsense	129	10.0	3.7310232558139535e-09
ENST00000261275	synonymous	1246	236.0	9.03604253611557e-09
ENST00000261292	missense	3333	340.0	5.524074707470747e-09
ENST00000261292	nonsense	170	11.0	4.531152941176471e-09
ENST00000261292	synonymous	988	168.0	8.089154858299595e-09
ENST00000261296	missense	2321	199.0	3.688452391210685e-09
ENST00000261296	nonsense	163	13.0	2.8833067484662577e-09
ENST00000261296	synonymous	657	59.0	5.074164383561644e-09
ENST00000261303	missense	2891	137.0	4.3111407817364236e-09
ENST00000261303	nonsense	174	2.0	4.112867816091954e-09
ENST00000261303	synonymous	886	113.0	5.698094808126411e-09
ENST00000261304	missense	4492	467.0	4.4607488869100624e-09
ENST00000261304	nonsense	281	19.0	4.769516014234875e-09
ENST00000261304	synonymous	1383	224.0	6.1119096167751266e-09
ENST00000261308	missense	4317	382.0	4.259274032893213e-09
ENST00000261308	nonsense	255	17.0	6.210843137254903e-09
ENST00000261308	synonymous	1233	136.0	5.132813463098134e-09
ENST00000261313	missense	1216	124.0	5.199625e-09
ENST00000261313	nonsense	73	9.0	5.264438356164384e-09
ENST00000261313	synonymous	385	70.0	8.909802597402598e-09
ENST00000261318	missense	1364	165.0	5.537054252199414e-09
ENST00000261318	nonsense	79	3.0	3.5773291139240506e-09
ENST00000261318	synonymous	393	65.0	9.524625954198473e-09
ENST00000261326	missense	5832	649.0	4.899537208504801e-09
ENST00000261326	nonsense	296	33.0	4.129712837837838e-09
ENST00000261326	synonymous	1855	289.0	6.463566576819407e-09
ENST00000261332	missense	2410	167.0	4.164182987551867e-09
ENST00000261332	nonsense	173	7.0	7.975387283236994e-09
ENST00000261332	synonymous	720	94.0	5.000334722222222e-09
ENST00000261336	missense	9663	936.0	4.090020076580772e-09
ENST00000261336	nonsense	562	48.0	4.46202846975089e-09
ENST00000261336	synonymous	3104	367.0	5.306171713917525e-09
ENST00000261349	missense	10617	926.0	4.628424131110483e-09
ENST00000261349	nonsense	670	22.0	7.452620895522388e-09
ENST00000261349	synonymous	3221	430.0	5.0054231605091585e-09
ENST00000261353	missense	794	43.0	6.267591939546599e-09
ENST00000261353	nonsense	37	1.0	1.0617351351351352e-08
ENST00000261353	synonymous	249	36.0	5.874421686746988e-09
ENST00000261366	missense	3836	364.0	4.628751824817518e-09
ENST00000261366	nonsense	256	11.0	3.78840234375e-09
ENST00000261366	synonymous	1173	166.0	6.0016291560102305e-09
ENST00000261368	missense	6021	558.0	4.4599815645241656e-09
ENST00000261368	nonsense	374	18.0	4.082037433155081e-09
ENST00000261368	synonymous	1867	257.0	6.625672737011248e-09
ENST00000261369	missense	1103	103.0	3.7071278331822307e-09
ENST00000261369	nonsense	75	8.0	7.523986666666667e-09
ENST00000261369	synonymous	334	42.0	5.033221556886227e-09
ENST00000261374	missense	2369	226.0	4.7177285774588436e-09
ENST00000261374	nonsense	113	9.0	5.6788584070796464e-09
ENST00000261374	synonymous	812	151.0	6.294748768472906e-09
ENST00000261377	missense	5072	384.0	3.953328667192429e-09
ENST00000261377	nonsense	306	15.0	3.048313725490196e-09
ENST00000261377	synonymous	1579	177.0	5.066882837238759e-09
ENST00000261381	missense	6275	743.0	6.356414023904383e-09
ENST00000261381	nonsense	303	16.0	5.776102310231023e-09
ENST00000261381	synonymous	2044	398.0	9.15991976516634e-09
ENST00000261383	missense	27408	2904.0	4.756470410099242e-09
ENST00000261383	nonsense	1580	137.0	4.478186075949367e-09
ENST00000261383	synonymous	8047	1231.0	7.188924568162048e-09
ENST00000261396	missense	7563	709.0	4.0751762528097316e-09
ENST00000261396	nonsense	489	25.0	4.639108384458078e-09
ENST00000261396	synonymous	2343	305.0	5.243606060606061e-09
ENST00000261401	missense	3180	253.0	4.822629245283019e-09
ENST00000261401	nonsense	165	7.0	4.9178121212121214e-09
ENST00000261401	synonymous	912	113.0	7.05171052631579e-09
ENST00000261402	missense	4362	445.0	5.972149931224209e-09
ENST00000261402	nonsense	221	13.0	5.949257918552036e-09
ENST00000261402	synonymous	1357	209.0	7.058823876197494e-09
ENST00000261405	missense	18569	1998.0	5.6411779848133986e-09
ENST00000261405	nonsense	1006	58.0	4.599121272365805e-09
ENST00000261405	synonymous	5733	947.0	8.660568288854003e-09
ENST00000261407	missense	3180	283.0	4.215950314465409e-09
ENST00000261407	nonsense	197	7.0	4.354162436548224e-09
ENST00000261407	synonymous	997	130.0	5.8774222668004014e-09
ENST00000261413	missense	2699	253.0	3.696374953686551e-09
ENST00000261413	nonsense	202	20.0	4.3117623762376234e-09
ENST00000261413	synonymous	816	118.0	4.854296568627451e-09
ENST00000261416	missense	3633	331.0	3.94429920176163e-09
ENST00000261416	nonsense	229	15.0	4.75913537117904e-09
ENST00000261416	synonymous	1133	145.0	5.1281465136804945e-09
ENST00000261427	missense	1303	28.0	4.045678434382195e-09
ENST00000261427	nonsense	86	0.0	4.258418604651163e-09
ENST00000261427	synonymous	402	51.0	5.12623631840796e-09
ENST00000261435	missense	11831	1034.0	3.6901082748711013e-09
ENST00000261435	nonsense	784	39.0	2.869094387755102e-09
ENST00000261435	synonymous	3306	386.0	5.215052934059286e-09
ENST00000261438	missense	2252	189.0	5.60246891651865e-09
ENST00000261438	nonsense	140	0.0	3.626328571428571e-09
ENST00000261438	synonymous	704	82.0	8.119151988636363e-09
ENST00000261439	missense	7736	821.0	4.987049250258531e-09
ENST00000261439	nonsense	447	37.0	5.8138210290827745e-09
ENST00000261439	synonymous	2320	355.0	7.571654310344827e-09
